contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating
2051,Codeforces Round 995 (Div. 3),052_from_031,1,1734886200,1581,1925
2051,Codeforces Round 995 (Div. 3),theDivineHand,2,1734886200,869,1478
2051,Codeforces Round 995 (Div. 3),tomcruise_,3,1734886200,1075,1607
2051,Codeforces Round 995 (Div. 3),thocon6969,4,1734886200,1597,1874
2051,Codeforces Round 995 (Div. 3),NeVeDlE,5,1734886200,958,1463
2051,Codeforces Round 995 (Div. 3),HOTVITLON,6,1734886200,935,1442
2051,Codeforces Round 995 (Div. 3),dikshit_barla,7,1734886200,1347,1731
2051,Codeforces Round 995 (Div. 3),Chaeryeong,8,1734886200,0,814
2051,Codeforces Round 995 (Div. 3),PeEchCute,9,1734886200,1200,1652
2051,Codeforces Round 995 (Div. 3),Odminbey,10,1734886200,1573,1887
2051,Codeforces Round 995 (Div. 3),huas_teble,11,1734886200,1457,1738
2051,Codeforces Round 995 (Div. 3),kenkenkenken,12,1734886200,1567,1808
2051,Codeforces Round 995 (Div. 3),budarin.028472,13,1734886200,944,1454
2051,Codeforces Round 995 (Div. 3),TheDarkKnight777,14,1734886200,1560,1796
2051,Codeforces Round 995 (Div. 3),Multo_Tiko,15,1734886200,1442,1713
2051,Codeforces Round 995 (Div. 3),nailoong,16,1734886200,1082,1520
2051,Codeforces Round 995 (Div. 3),N95,16,1734886200,0,780
2051,Codeforces Round 995 (Div. 3),Adrian_B,18,1734886200,1090,1543
2051,Codeforces Round 995 (Div. 3),spectrra,19,1734886200,935,1394
2051,Codeforces Round 995 (Div. 3),Dog_of_Qzong,20,1734886200,725,1277
2051,Codeforces Round 995 (Div. 3),zyh_helen,21,1734886200,1577,1788
2051,Codeforces Round 995 (Div. 3),PicACG,21,1734886200,1434,1750
2051,Codeforces Round 995 (Div. 3),isthisreal,23,1734886200,1372,1648
2051,Codeforces Round 995 (Div. 3),isnim_ylevol,24,1734886200,0,764
2051,Codeforces Round 995 (Div. 3),wzx_ON9,25,1734886200,1480,1779
2051,Codeforces Round 995 (Div. 3),aktuss,26,1734886200,1430,1682
2051,Codeforces Round 995 (Div. 3),IronBuken,27,1734886200,0,758
2051,Codeforces Round 995 (Div. 3),ankit_dsvv,28,1734886200,1412,1666
2051,Codeforces Round 995 (Div. 3),Vamilio,28,1734886200,1514,1735
2051,Codeforces Round 995 (Div. 3),ben7bkya0xEssam,30,1734886200,1043,1475
2051,Codeforces Round 995 (Div. 3),dialectic_,31,1734886200,1496,1719
2051,Codeforces Round 995 (Div. 3),magician.,32,1734886200,1585,1779
2051,Codeforces Round 995 (Div. 3),durty_manh,33,1734886200,1337,1660
2051,Codeforces Round 995 (Div. 3),Legendary_Noxus,34,1734886200,1414,1717
2051,Codeforces Round 995 (Div. 3),wangjiangyang,35,1734886200,1567,1827
2051,Codeforces Round 995 (Div. 3),WesternVeil,36,1734886200,0,744
2051,Codeforces Round 995 (Div. 3),_GGhost_,36,1734886200,1324,1597
2051,Codeforces Round 995 (Div. 3),TurnOfAPage,38,1734886200,1188,1580
2051,Codeforces Round 995 (Div. 3),pac-man,39,1734886200,1437,1669
2051,Codeforces Round 995 (Div. 3),Zamkove127,40,1734886200,0,740
2051,Codeforces Round 995 (Div. 3),WhiteBloom,41,1734886200,1278,1614
2051,Codeforces Round 995 (Div. 3),EthelCampbell,42,1734886200,1396,1639
2051,Codeforces Round 995 (Div. 3),MangaKiwi,43,1734886200,1595,1829
2051,Codeforces Round 995 (Div. 3),_Adel_Mahmoud_,43,1734886200,1407,1701
2051,Codeforces Round 995 (Div. 3),douzhanshengfo,45,1734886200,0,735
2051,Codeforces Round 995 (Div. 3),hxu20220928,46,1734886200,594,1151
