contestId;contestName;handle;rank;ratingUpdateTimeSeconds;oldRating;newRating;rating_achieved
2053;Good Bye 2024: 2025 is NEAR;jiangly;1;1735407300;3814;3884;70
2053;Good Bye 2024: 2025 is NEAR;ecnerwala;2;1735407300;3392;3505;113
2053;Good Bye 2024: 2025 is NEAR;Benq;3;1735407300;3529;3579;50
2053;Good Bye 2024: 2025 is NEAR;Egor;4;1735407300;2927;3113;186
2053;Good Bye 2024: 2025 is NEAR;Radewoosh;5;1735407300;3410;3456;46
2053;Good Bye 2024: 2025 is NEAR;Petr;6;1735407300;3036;3167;131
2053;Good Bye 2024: 2025 is NEAR;Ormlis;7;1735407300;3175;3260;85
2053;Good Bye 2024: 2025 is NEAR;ksun48;8;1735407300;3517;3505;-12
2053;Good Bye 2024: 2025 is NEAR;Nachia;9;1735407300;3209;3269;60
2053;Good Bye 2024: 2025 is NEAR;EnofTaiPeople;10;1735407300;2705;2888;183
2053;Good Bye 2024: 2025 is NEAR;strapple;11;1735407300;3046;3134;88
2053;Good Bye 2024: 2025 is NEAR;tute7627;12;1735407300;2842;2977;135
2053;Good Bye 2024: 2025 is NEAR;turmax;13;1735407300;3276;3294;18
2053;Good Bye 2024: 2025 is NEAR;Xylenox;14;1735407300;2738;2890;152
2053;Good Bye 2024: 2025 is NEAR;heuristica;15;1735407300;3373;3357;-16
2053;Good Bye 2024: 2025 is NEAR;JoesSR;16;1735407300;2997;3072;75
2053;Good Bye 2024: 2025 is NEAR;maspy;17;1735407300;3254;3260;6
2053;Good Bye 2024: 2025 is NEAR;shiomusubi496;18;1735407300;2833;2943;110
2053;Good Bye 2024: 2025 is NEAR;noimi;19;1735407300;3080;3123;43
2053;Good Bye 2024: 2025 is NEAR;Licha06;20;1735407300;2926;3005;79
2053;Good Bye 2024: 2025 is NEAR;_l_l_;21;1735407300;2834;2933;99
2053;Good Bye 2024: 2025 is NEAR;TLEwpdus;22;1735407300;2822;2921;99
2053;Good Bye 2024: 2025 is NEAR;PEIMUDA;23;1735407300;2929;2997;68
2053;Good Bye 2024: 2025 is NEAR;taeyeon_ss;24;1735407300;2667;2802;135
2053;Good Bye 2024: 2025 is NEAR;hhoppitree;25;1735407300;2703;2825;122
2053;Good Bye 2024: 2025 is NEAR;BurnedChicken;26;1735407300;3036;3069;33
2053;Good Bye 2024: 2025 is NEAR;Golovanov399;27;1735407300;2933;2990;57
2053;Good Bye 2024: 2025 is NEAR;leinad2;28;1735407300;2445;2630;185
2053;Good Bye 2024: 2025 is NEAR;neal;29;1735407300;2902;2962;60
2053;Good Bye 2024: 2025 is NEAR;tatyam;30;1735407300;2834;2909;75
2053;Good Bye 2024: 2025 is NEAR;kotatsugame;31;1735407300;3044;3063;19
2053;Good Bye 2024: 2025 is NEAR;rin204;32;1735407300;2961;2999;38
2053;Good Bye 2024: 2025 is NEAR;jason_sun;33;1735407300;2856;2919;63
