contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating
2043,Educational Codeforces Round 173 (Rated for Div. 2),goingtheextrakilometer,1,1735058100,1961,2265
2043,Educational Codeforces Round 173 (Rated for Div. 2),penguin2,2,1735058100,2078,2316
2043,Educational Codeforces Round 173 (Rated for Div. 2),wwxyy,3,1735058100,1628,2042
2043,Educational Codeforces Round 173 (Rated for Div. 2),FloatingOcean,4,1735058100,1968,2207
2043,Educational Codeforces Round 173 (Rated for Div. 2),ReEndofaDream,5,1735058100,2071,2305
2043,Educational Codeforces Round 173 (Rated for Div. 2),Triseedot,6,1735058100,1971,2183
2043,Educational Codeforces Round 173 (Rated for Div. 2),rand,6,1735058100,1708,2005
2043,Educational Codeforces Round 173 (Rated for Div. 2),wzx_ON9,8,1735058100,1779,2098
2043,Educational Codeforces Round 173 (Rated for Div. 2),HUST_UESLESS,9,1735058100,1646,2004
2043,Educational Codeforces Round 173 (Rated for Div. 2),PowerfulNumber,10,1735058100,1601,1969
2043,Educational Codeforces Round 173 (Rated for Div. 2),satyam343,11,1735058100,1723,1994
2043,Educational Codeforces Round 173 (Rated for Div. 2),Drawchill,12,1735058100,1956,2148
2043,Educational Codeforces Round 173 (Rated for Div. 2),LuigiMangione,13,1735058100,856,1458
2043,Educational Codeforces Round 173 (Rated for Div. 2),Kent999,14,1735058100,2008,2177
2043,Educational Codeforces Round 173 (Rated for Div. 2),wei_ge_shi_wo,15,1735058100,0,869
2043,Educational Codeforces Round 173 (Rated for Div. 2),OrangeMeow,16,1735058100,1969,2203
2043,Educational Codeforces Round 173 (Rated for Div. 2),fezjo,17,1735058100,2062,2209
2043,Educational Codeforces Round 173 (Rated for Div. 2),imgeeking,18,1735058100,1735,2035
2043,Educational Codeforces Round 173 (Rated for Div. 2),darkus-_-,18,1735058100,1743,1984
2043,Educational Codeforces Round 173 (Rated for Div. 2),Vanyan,20,1735058100,1248,1662
2043,Educational Codeforces Round 173 (Rated for Div. 2),bobr_efim,20,1735058100,1782,2005
2043,Educational Codeforces Round 173 (Rated for Div. 2),K-garage,22,1735058100,1956,2122
2043,Educational Codeforces Round 173 (Rated for Div. 2),7.Up,23,1735058100,0,847
2043,Educational Codeforces Round 173 (Rated for Div. 2),zhoujingchen,24,1735058100,1822,2027
2043,Educational Codeforces Round 173 (Rated for Div. 2),null_lambda,25,1735058100,2016,2158
2043,Educational Codeforces Round 173 (Rated for Div. 2),AbdelmagedNour,25,1735058100,2059,2188
2043,Educational Codeforces Round 173 (Rated for Div. 2),radhya,27,1735058100,1880,2061
2043,Educational Codeforces Round 173 (Rated for Div. 2),SleepingCat,28,1735058100,1766,1981
2043,Educational Codeforces Round 173 (Rated for Div. 2),antonband.1996,29,1735058100,1983,2129
2043,Educational Codeforces Round 173 (Rated for Div. 2),Frus,30,1735058100,1867,2047
2043,Educational Codeforces Round 173 (Rated for Div. 2),Sveshnikov,31,1735058100,1532,1821
2043,Educational Codeforces Round 173 (Rated for Div. 2),timg8710,32,1735058100,1947,2099
2043,Educational Codeforces Round 173 (Rated for Div. 2),Coder-Osman,33,1735058100,1786,1986
2043,Educational Codeforces Round 173 (Rated for Div. 2),Ggg_,34,1735058100,2077,2188
2043,Educational Codeforces Round 173 (Rated for Div. 2),love_gold_,35,1735058100,1633,1930
2043,Educational Codeforces Round 173 (Rated for Div. 2),blackscreen1,35,1735058100,1994,2126
2043,Educational Codeforces Round 173 (Rated for Div. 2),arash.,37,1735058100,2093,2195
2043,Educational Codeforces Round 173 (Rated for Div. 2),BenjaminJ,38,1735058100,1204,1656
2043,Educational Codeforces Round 173 (Rated for Div. 2),mujigae,38,1735058100,2094,2193
2043,Educational Codeforces Round 173 (Rated for Div. 2),HASBOT,40,1735058100,2043,2155
2043,Educational Codeforces Round 173 (Rated for Div. 2),SHMEAT,41,1735058100,0,815
2043,Educational Codeforces Round 173 (Rated for Div. 2),ivan.alexeev,41,1735058100,2080,2181
2043,Educational Codeforces Round 173 (Rated for Div. 2),balakrishnan,43,1735058100,2018,2135
2043,Educational Codeforces Round 173 (Rated for Div. 2),tfgs,44,1735058100,1867,2028
2043,Educational Codeforces Round 173 (Rated for Div. 2),yvbf,45,1735058100,1845,2012
2043,Educational Codeforces Round 173 (Rated for Div. 2),kenkenken,46,1735058100,1943,2079
2043,Educational Codeforces Round 173 (Rated for Div. 2),Getyoucrown,47,1735058100,0,807
2043,Educational Codeforces Round 173 (Rated for Div. 2),Qiubai_love,47,1735058100,1151,1610
2043,Educational Codeforces Round 173 (Rated for Div. 2),tepchik,47,1735058100,2055,2156
2043,Educational Codeforces Round 173 (Rated for Div. 2),kulovemi,50,1735058100,1941,2074
2043,Educational Codeforces Round 173 (Rated for Div. 2),BS_khakim,51,1735058100,1730,1924
2043,Educational Codeforces Round 173 (Rated for Div. 2),baoziiQwQ,51,1735058100,2008,2117
2043,Educational Codeforces Round 173 (Rated for Div. 2),sdyzpf,51,1735058100,2056,2152
2043,Educational Codeforces Round 173 (Rated for Div. 2),LOL_I_AM_SERZH,51,1735058100,2003,2114
2043,Educational Codeforces Round 173 (Rated for Div. 2),Vamilio,55,1735058100,1735,1927
2043,Educational Codeforces Round 173 (Rated for Div. 2),Chaeryeong,56,1735058100,814,1362
2043,Educational Codeforces Round 173 (Rated for Div. 2),liaoz123,57,1735058100,2055,2148
2043,Educational Codeforces Round 173 (Rated for Div. 2),PureRuby,58,1735058100,2085,2204
2043,Educational Codeforces Round 173 (Rated for Div. 2),konghaojie,58,1735058100,1999,2106
2043,Educational Codeforces Round 173 (Rated for Div. 2),AverageAmogusEnjoyer,60,1735058100,1901,2035
2043,Educational Codeforces Round 173 (Rated for Div. 2),hungcubuso2vn,60,1735058100,1969,2083
